Date,Category,Product,Sales
2024-01-01,Electronics,Mobile Bulk,150000
2024-01-02,Fashion,T-Shirt Bulk,45000
2024-01-03,Grocery,Rice Bag,70000
2024-01-04,Furniture,Chair Set,55000
2024-01-05,Sports,Football Pack,30000
2024-01-06,Electronics,Laptop Bulk,320000
2024-01-07,Fashion,Shoes Carton,65000
2024-01-08,Grocery,Oil Carton,48000
2024-01-09,Furniture,Table Set,82000
2024-01-10,Sports,Cricket Kit,52000
2024-01-11,Electronics,Headphones Pack,40000
2024-01-12,Fashion,Jeans Bundle,50000
2024-01-13,Grocery,Milk Crate,35000
2024-01-14,Furniture,Sofa Set,210000
2024-01-15,Sports,Gloves Box,22000
2024-01-16,Electronics,Tablet Bulk,175000
2024-01-17,Fashion,Jacket Bundle,72000
2024-01-18,Grocery,Sugar Sack,42000
2024-01-19,Furniture,Bed Set,260000
2024-01-20,Sports,Helmet Pack,33000
